park_id,name_en,name_tc,name_sc,displayAddress_en,displayAddress_tc,displayAddress_sc,latitude,longitude,district_en,district_tc,district_sc,contactNo,opening_status,height,remark_en,remark_tc,remark_sc,carpark_photo
tdcp5,City Hall Car Park,大會堂停車場,大会堂停车场,"1 Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場1號,香港中环爱丁堡广场1号,22.28191055,114.16213972,Central & Western,中西區,中西区,,OPEN,0.0,"Height Limit: 2.1
Hourly<br>07:00 - 19:00 $23 per hour (private car)<br>19:00 - 07:00 $17 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $180 (private car)<br>Sunday to Public holiday from 08:00 - 00:00 $120 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $65 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $4400 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2.1
時租<br>07:00 - 19:00 每小時 $23 (私家車)<br>19:00 - 07:00 每小時 $17 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家車)<br>星期日及公眾假期 08:00 - 00:00 $120 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家車)<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $4400 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2.1
时租<br>07:00 - 19:00 每小时 $23 (私家车)<br>19:00 - 07:00 每小时 $17 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家车)<br>星期日及公众假期 08:00 - 00:00 $120 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家车)<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $4400 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp5.jpg
tdcp6,Kwai Fong Car Park,葵芳停車場,葵芳停车场,"19 Kwai Yi Road, Kwai Chung, New Territories",新界葵涌葵義路19號,新界葵涌葵义路19号,22.35548531,114.1273145,Kwai Tsing,葵青區,葵青区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $15 per hour (private car)<br>23:00 - 07:00 $12 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $100 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $100 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $55 (private car)<br>Sunday to Public holiday from 19:00 - 07:00 $55 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $15 (私家車)<br>23:00 - 07:00 每小時 $12 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $100 (私家車)<br>星期日及公眾假期 07:00 - 19:00 $100 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $55 (私家車)<br>星期日及公眾假期 19:00 - 07:00 $55 (私家車)<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $2100 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $15 (私家车)<br>23:00 - 07:00 每小时 $12 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $100 (私家车)<br>星期日及公众假期 07:00 - 19:00 $100 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $55 (私家车)<br>星期日及公众假期 19:00 - 07:00 $55 (私家车)<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $2100 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp6.jpg
tdcp7,Kennedy Town Car Park,堅尼地城停車場,坚尼地城停车场,"12 Rock Hill Street, Kennedy Town, Hong Kong
",香港堅尼地城石山街12號,香港坚尼地城石山街12号,22.28177031,114.12885637,Central & Western,中西區,中西区,,OPEN,0.0,"Height Limit: 2.4
Hourly<br>07:00 - 23:00 $13 per hour (private car)<br>23:00 - 07:00 $13 per hour (private car)<br><br>Day Park<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Quarterly $6900 (private car)<br>Quarterly $1020 (motorcycles)<br>Quarterly $1890 (taxi)<br>","高度限制: 2.4
時租<br>07:00 - 23:00 每小時 $13 (私家車)<br>23:00 - 07:00 每小時 $13 (私家車)<br><br>日泊<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每季 $6900 (私家車)<br>每季 $1020 (電單車)<br>每季 $1890 (的士)<br>","高度限制: 2.4
时租<br>07:00 - 23:00 每小时 $13 (私家车)<br>23:00 - 07:00 每小时 $13 (私家车)<br><br>日泊<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每季 $6900 (私家车)<br>每季 $1020 (电单车)<br>每季 $1890 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp7.jpg
tdcp8,Star Ferry Car Park,天星停車場,天星停车场,"9 Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場9號,香港中环爱丁堡广场9号,22.28275461,114.16043975,Central & Western,中西區,中西区,,OPEN,0.0,"Height Limit: 2.1
Hourly<br>07:00 - 19:00 $23 per hour (private car)<br>19:00 - 07:00 $17 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $180 (private car)<br>Sunday to Public holiday from 08:00 - 00:00 $120 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $65 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $4400(non-reserved)/5900 (reserved) (private car)<br>Monthly $340 (motorcycles)<br>","高度限制: 2.1
時租<br>07:00 - 19:00 每小時 $23 (私家車)<br>19:00 - 07:00 每小時 $17 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家車)<br>星期日及公眾假期 08:00 - 00:00 $120 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家車)<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $4400(非固定泊位)/5900 (固定泊位) (私家車)<br>每月 $340 (電單車)<br>","高度限制: 2.1
时租<br>07:00 - 19:00 每小时 $23 (私家车)<br>19:00 - 07:00 每小时 $17 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家车)<br>星期日及公众假期 08:00 - 00:00 $120 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家车)<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $4400(非固定泊位)/5900 (固定泊位) (私家车)<br>每月 $340 (电单车)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp8.jpg
tdcp9,Shau Kei Wan Car Park,筲箕灣停車場,筲箕湾停车场,"1 Po Man Street, Shau Kei Wan, Hong Kong",香港筲箕灣寶文街1號,香港筲箕湾宝文街1号,22.27879407,114.22927727,Eastern,東區,东区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $13 per hour (private car)<br>23:00 - 07:00 $11 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $80 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $80 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $13 (私家車)<br>23:00 - 07:00 每小時 $11 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $80 (私家車)<br>星期日及公眾假期 07:00 - 19:00 $80 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $2100 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $13 (私家车)<br>23:00 - 07:00 每小时 $11 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $80 (私家车)<br>星期日及公众假期 07:00 - 19:00 $80 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $2100 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp9.jpg
tdcp10,Aberdeen Car Park,香港仔停車場,香港仔停车场,"18 Aberdeen Reservoir Road, Aberdeen, Hong Kong",香港仔香港仔水塘道18號,香港仔香港仔水塘道18号,22.25027272,114.15661803,Southern,南區,南区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $13 per hour (private car)<br>23:00 - 07:00 $11 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $80 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $80 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $17 (私家車)<br>23:00 - 07:00 每小時 $15 (私家車)<br><br>日泊<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $1900 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $17 (私家车)<br>23:00 - 07:00 每小时 $15 (私家车)<br><br>日泊<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $1900 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp10.jpg
tdcp11,Tin Hau Car Park,天后停車場,天后停车场,"1 King's Road, Causeway Bay, Hong Kong'",香港銅鑼灣英皇道1號,香港铜锣湾英皇道1号,22.28288221,114.19166511,Wan Chai,灣仔區,湾仔区,,OPEN,0.0,"Height Limit: 2.2
Hourly<br>07:00 - 23:00 $21 per hour (private car)<br>23:00 - 07:00 $16 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $105 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $105 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2900 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2.2
時租<br>07:00 - 23:00 每小時 $21 (私家車)<br>23:00 - 07:00 每小時 $16 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $105 (私家車)<br>星期日及公眾假期 07:00 - 19:00 $105 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $2900 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2.2
时租<br>07:00 - 23:00 每小时 $21 (私家车)<br>23:00 - 07:00 每小时 $16 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $105 (私家车)<br>星期日及公众假期 07:00 - 19:00 $105 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $2900 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp11.jpg
tdcp12,Sheung Fung Street Car Park,雙鳳街停車場,双凤街停车场,"Sheung Fung Street, Wong Tai Sin, Kowloon
",九龍黃大仙雙鳳街,九龙黄大仙双凤街,22.34395897,114.19705899,Wong Tai Sin,黃大仙區,黄大仙区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $13 per hour (private car)<br>23:00 - 07:00 $11 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $80 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $80 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Quarterly $6000 (private car)<br>Quarterly $1020 (motorcycles)<br>Quarterly $1890 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $13 (私家車)<br>23:00 - 07:00 每小時 $11 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $80 (私家車)<br>星期日及公眾假期 07:00 - 19:00 $80 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每季 $6000 (私家車)<br>每季 $1020 (電單車)<br>每季 $1890 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $13 (私家车)<br>23:00 - 07:00 每小时 $11 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $80 (私家车)<br>星期日及公众假期 07:00 - 19:00 $80 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每季 $6000 (私家车)<br>每季 $1020 (电单车)<br>每季 $1890 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp12.jpg
tdc20p1,Hong Kong Wetland Park Car Park,香港濕地公園停車場,香港湿地公园停车场,"Wetland Park Road, Tin Shui Wai, NT",新界 天水圍 濕地公園路,新界 天水围 湿地公园路,22.4692249,114.0045853,Yuen Long,元朗區,元朗区,3152 2666,OPEN,0.0,"Height Limit: 
9:00 am – 5:30 pm (Last entry of carpark  4:00pm)<br>
Closed on Tuesdays (except Public Holidays)
<br><br>
The Parking fee is $8 per hour","高度限制: 
開放時間: 9:00am - 5:30pm(最後入車時間 下午四時)<br>
逢星期二關閉(除公衆假期外)
<br><br>
每小時收費港幣8元","高度限制: 
开放时间: 9:00am - 5:30pm(最后入车时间 下午四时)<br>
逢星期二关闭(除公衆假期外)
<br><br>
每小时收费港币8元",http://resource.data.one.gov.hk/td/carpark/tdc20p1.jpg
tdc5p3,Wu Chung House,胡忠大廈,胡忠大厦,"213 Queen's Road East, Wan Chai District, Hong Kong",香港 灣仔區 皇后大道東213號,香港 湾仔区 皇后大道东213号,22.27437133,114.17247315,Wan Chai,灣仔區,湾仔区,2893 9369,OPEN,1.9,"Height Limit: 
<u>Provision of Electric Charging Services (Total: 9)</u><br>
Standard (13A) Charger : 1 no. (3/F)<br>
Standard (13A) Charger : 8 nos. (5/F)
","高度限制: 
<u>設有電動車充電服務 (共9個）</u><br>
一般(13A)充電器 : 1個 (3樓)<br>
一般(13A)充電器 : 8個 (5樓)
","高度限制: 
<u>设有电动车充电服务 (共9个）</u><br>
一般(13A)充电器 : 1个 (3楼)<br>
一般(13A)充电器 : 8个 (5楼)
",http://resource.data.one.gov.hk/td/carpark/tdc5p3.jpg
